1,32.33,7.5,0,0,11,2,1.585,1,0,0,1,2,420,0,0
0,38.58,5,0,0,2,0,13.5,1,0,0,1,0,980,0,0
1,44.25,0.5,0,0,6,0,10.75,1,0,0,0,2,400,0,0
1,44.83,7,1,1,0,0,1.625,0,0,0,0,0,160,2,0
1,20.67,5.29,0,0,8,0,0.375,1,1,1,0,0,160,0,0
1,34.08,6.5,0,0,12,0,0.125,1,0,0,1,0,443,0,0
0,19.17,0.585,1,1,12,0,0.585,1,0,0,1,0,160,0,0
1,21.67,1.165,1,1,5,0,2.5,1,1,1,0,0,180,20,0
1,21.5,9.75,0,0,0,0,0.25,1,0,0,0,0,140,0,0
1,49.58,19,0,0,13,7,0,1,1,1,0,0,94,0,0
0,27.67,1.5,0,0,6,0,2,1,0,0,0,2,368,0,0
1,39.83,0.5,0,0,6,0,0.25,1,0,0,0,2,288,0,0
1,27.25,0.625,0,0,12,0,0.455,1,0,0,1,0,200,0,0
1,37.17,4,0,0,0,2,5,1,0,0,1,2,280,0,0
1,25.67,2.21,1,1,12,0,4,1,0,0,0,0,188,0,0
1,34,4.5,0,0,12,0,1,1,0,0,1,0,240,0,0
0,49,1.5,0,0,4,3,0,1,0,0,1,0,100,27,0
1,62.5,12.75,1,1,0,1,5,1,0,0,0,0,112,0,0
1,31.42,15.5,0,0,0,0,0.5,1,0,0,0,0,120,0,0
1,52.33,1.375,1,1,0,1,9.46,1,0,0,1,0,200,100,0
1,28.75,1.5,1,1,0,0,1.5,1,0,0,1,0,0,225,0
0,28.58,3.54,0,0,3,2,0.5,1,0,0,1,0,171,0,0
1,23,0.625,1,1,12,0,0.125,1,0,0,0,0,180,1,0
0,22.5,11,1,1,8,0,3,1,0,0,1,0,268,0,0
0,28.5,1,0,0,8,0,1,1,1,2,1,0,167,500,0
1,37.5,1.75,1,1,0,2,0.25,1,0,0,1,0,164,400,0
1,35.25,16.5,1,1,0,0,4,1,0,0,0,0,80,0,0
1,18.67,5,0,0,8,0,0.375,1,1,2,0,0,0,38,0
1,25,12,0,0,5,0,2.25,1,1,2,1,0,120,5,0
1,27.83,4,1,1,3,1,5.75,1,1,2,1,0,75,0,0
1,54.83,15.5,0,0,11,5,0,1,1,20,0,0,152,130,0
1,28.75,1.165,0,0,5,0,0.5,1,0,0,0,2,280,0,0
0,25,11,1,1,12,0,4.5,1,0,0,0,0,120,0,0
1,40.92,2.25,1,1,10,1,10,1,0,0,1,0,176,0,0
0,19.75,0.75,0,0,0,0,0.795,1,1,5,1,0,140,5,0
1,29.17,3.5,0,0,9,0,3.5,1,1,3,1,0,329,0,0
0,24.5,1.04,1,1,13,7,0.5,1,1,3,0,0,180,147,0
1,24.58,12.5,0,0,9,0,0.875,1,0,0,1,0,260,0,0
0,33.75,0.75,0,0,5,2,1,1,1,3,1,0,212,0,0
1,20.67,1.25,1,1,0,1,1.375,1,1,3,1,0,140,210,0
0,25.42,1.125,0,0,8,0,1.29,1,1,2,0,0,200,0,0
1,37.75,7,0,0,8,1,11.5,1,1,7,1,0,300,5,0
1,18.17,10.25,0,0,0,1,1.085,0,0,0,0,0,320,13,0
1,20,11.045,0,0,0,0,2,0,0,0,1,0,136,0,0
1,20,0,0,0,1,0,0.5,0,0,0,0,0,144,0,0
0,20.75,9.54,0,0,3,0,0.04,0,0,0,0,0,200,1000,0
0,24.5,1.75,1,1,0,0,0.165,0,0,0,0,0,132,0,0
